Livro,Capítulos
Mateus,28
Marcos,16
Lucas,24
João,21
Atos,28
Romanos,16
1 Coríntios,16
2 Coríntios,13
Gálatas,6
Efésios,6
Filipenses,4
Colossenses,4
1 Tessalonicenses,5
2 Tessalonicenses,3
1 Timóteo,6
2 Timóteo,4
Tito,3
Filemom,1
Hebreus,13
Tiago,5
1 Pedro,5
2 Pedro,3
1 João,5
2 João,1
3 João,1
Judas,1
Apocalipse,22
